nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Rice,Jason,59,175.8,52.8,H,oui,bac+2,Hauts-de-France,non,oui,2487,,0.0,0.5,2024-08-02,457.0,10000.0,5609.118288848591
Martin,Jessica,40,167.1,68.8,F,non,doctorat,Île-de-France,non,oui,3115,veuf,,0.9,2024-05-03,,1092.73,25817.158386516672
Parks,Karen,48,177.1,67.1,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,non,3079,veuf,,0.85,2022-10-26,,10000.0,8441.650383698521
Schmidt,Alicia,68,182.3,80.8,H,oui,bac+2,Occitanie,non,oui,500,veuf,1.0,0.9,2021-07-09,825.0,595.65,21428.9113174765
Rogers,Christopher,33,179.7,59.8,F,oui,doctorat,Île-de-France,non,oui,1263,divorcé,3.0,0.55,2025-01-17,,10000.0,29312.281901332575
Jones,Bonnie,55,172.3,94.0,F,oui,bac+2,Hauts-de-France,non,oui,3515,veuf,1.0,0.63,2023-02-20,,10000.0,19456.809370183415
Lopez,Susan,63,169.0,45.5,H,non,aucun,Occitanie,oui,oui,1760,veuf,5.0,0.25,2022-05-20,,817.79,500.0
Montgomery,Kelly,50,175.5,48.0,F,oui,bac,Hauts-de-France,oui,oui,3263,marié,,0.06,2021-03-25,,,500.0
Gibson,Denise,36,172.6,70.1,F,non,aucun,Occitanie,oui,non,2618,veuf,,0.9,2020-03-14,306.0,884.56,500.0
Miller,Joseph,44,168.7,55.1,H,non,master,Île-de-France,oui,non,1878,célibataire,,0.85,2023-04-27,,5000.0,500.0
Sanchez,Mary,19,174.0,89.0,H,non,master,Île-de-France,oui,oui,2991,célibataire,,0.45,2023-08-15,300.0,5000.0,16865.44998902573
Carroll,Allison,30,176.5,60.4,H,non,aucun,Normandie,oui,non,2618,marié,,0.05,2022-02-11,,10000.0,500.0
Hill,Samantha,34,170.5,49.8,F,non,bac+2,Hauts-de-France,oui,non,980,marié,,0.84,2023-11-18,,684.1,500.0
Huynh,Terri,44,169.4,68.4,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3946,célibataire,,0.68,2022-06-20,492.0,492.53,9789.499395251049
Sanders,Kelli,56,191.0,72.2,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,500,veuf,,0.57,2021-10-20,,,1924.8707258145237
Santos,Amy,38,160.3,50.6,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2476,célibataire,2.0,0.34,2024-06-29,,,33237.51040497477
Holt,Mary,42,179.1,78.7,H,non,doctorat,Normandie,oui,non,2948,veuf,1.0,0.89,2021-01-01,,,500.0
Foster,Brenda,50,181.2,72.3,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3582,divorcé,3.0,0.82,2024-03-12,,311.92,500.0
Lester,Michael,21,175.2,82.2,F,non,aucun,Bretagne,non,oui,1171,,3.0,0.15,2021-08-07,840.0,546.39,7036.933982637373
Turner,Rhonda,74,174.4,52.5,F,oui,aucun,Corse,oui,non,3249,célibataire,,0.17,2023-05-21,592.0,5000.0,500.0
Miles,Michael,26,173.2,71.7,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3148,veuf,,0.7,2024-11-01,,5000.0,10601.00601090133
Osborn,Beth,53,158.2,50.4,H,non,doctorat,Auvergne-Rhône-Alpes,non,non,500,marié,0.0,0.0,2021-02-09,760.0,,6871.1122444362445
Sparks,Maria,54,167.2,43.6,F,non,aucun,Hauts-de-France,oui,oui,2548,,,0.37,2022-07-16,,,500.0
Harper,Tiffany,67,156.5,53.4,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,1964,,,0.54,2022-06-28,781.0,,500.0
Davies,Anthony,34,151.2,67.3,H,oui,bac+2,Normandie,non,non,1848,célibataire,,0.03,2022-06-28,,10000.0,500.0
Moore,Jerry,37,183.7,55.4,F,oui,master,Occitanie,oui,oui,2200,marié,,0.91,2022-05-06,674.0,10000.0,22103.312793101413
Elliott,Brittney,36,185.1,78.3,H,non,aucun,Île-de-France,non,oui,4130,veuf,3.0,0.28,2025-01-24,,,23800.2848639697
Walters,Eugene,27,164.0,95.4,H,oui,doctorat,Corse,oui,non,2560,célibataire,5.0,0.53,2021-10-18,787.0,,500.0
Hall,Susan,71,185.4,62.0,F,non,bac,Occitanie,oui,non,3791,divorcé,,0.19,2022-04-12,550.0,5000.0,500.0
Ross,James,46,169.7,101.5,H,oui,bac+2,Île-de-France,oui,oui,838,marié,,0.49,2023-05-22,,5000.0,11185.708320335612
Robinson,Frank,39,156.2,76.8,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,3050,célibataire,,0.21,2025-03-20,347.0,836.16,500.0
Stewart,Donald,25,173.2,70.6,H,non,master,Occitanie,oui,oui,1892,célibataire,1.0,0.8,2024-01-13,711.0,,15088.916475610826
Hall,Ashley,26,169.7,76.5,F,oui,bac,Normandie,non,non,1416,,,0.82,2022-04-28,361.0,10000.0,500.0
Berger,Karen,62,164.1,57.5,H,non,doctorat,Normandie,non,non,3821,,,0.07,2022-07-16,841.0,,4000.611212119556
Todd,Donald,40,158.9,36.2,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,3636,,,0.36,2022-12-17,,1031.19,25790.313875994816
Phillips,Jason,28,172.7,64.4,F,oui,aucun,Corse,oui,non,3064,célibataire,,0.59,2024-03-27,,,500.0
Fields,Sierra,71,169.3,55.2,H,oui,doctorat,Bretagne,oui,oui,3056,célibataire,1.0,0.92,2020-10-09,,5000.0,30181.130879989247
Koch,Ryan,69,170.2,68.2,F,oui,bac+2,Normandie,non,non,1641,,,0.7,2023-10-29,545.0,10000.0,500.0
Moreno,Veronica,36,171.7,79.1,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,4498,,,0.07,2020-05-06,,10000.0,500.0
Flowers,Anthony,26,164.7,76.7,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3848,,,0.37,2025-04-11,,,9423.30195877417
White,Danielle,71,183.3,61.8,H,oui,doctorat,Corse,oui,oui,2189,veuf,,0.27,2020-07-07,541.0,998.19,11037.325599210788
Coleman,Steven,72,171.2,48.9,F,oui,bac+2,Île-de-France,non,non,500,divorcé,2.0,0.67,2021-04-01,,818.22,500.0
Eaton,Shirley,28,166.4,80.8,H,oui,aucun,Hauts-de-France,oui,oui,2193,veuf,0.0,0.56,2021-12-27,,1000.85,500.0
Neal,Donald,48,152.3,49.6,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3629,célibataire,,0.1,2023-07-14,,10000.0,500.0
Curtis,Brooke,57,171.0,57.4,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2850,divorcé,2.0,0.51,2022-06-25,,,1439.6910306125149
Steele,Jillian,44,161.9,70.1,H,non,bac,Corse,non,non,500,divorcé,,0.64,2022-08-26,550.0,,500.0
Hubbard,Michael,68,158.7,57.8,F,non,aucun,Bretagne,non,oui,1254,célibataire,2.0,0.95,2024-04-05,318.0,5000.0,500.0
Nelson,Adam,46,178.8,86.7,F,non,bac,Auvergne-Rhône-Alpes,non,non,1852,veuf,,0.7,2021-09-15,,1148.65,500.0
Phillips,Lori,66,157.6,62.0,H,non,master,Île-de-France,oui,non,1226,célibataire,5.0,0.8,2022-10-02,790.0,641.76,500.0
Fisher,John,37,161.4,81.6,F,oui,doctorat,Bretagne,non,oui,1050,célibataire,,0.64,2020-06-21,390.0,10000.0,26368.97625190018
Randolph,Bradley,53,187.4,64.6,F,non,bac,Hauts-de-France,non,oui,5020,,3.0,0.87,2021-06-13,317.0,5000.0,5105.148839307339
Johnston,Lauren,70,153.4,82.7,H,non,bac+2,Auvergne-Rhône-Alpes,oui,non,3205,marié,,0.25,2020-04-18,,757.24,500.0
King,Ryan,67,179.1,74.1,F,non,bac,Corse,oui,oui,2025,,1.0,0.49,2020-12-09,321.0,,500.0
Sutton,Brandi,22,167.7,73.0,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,4389,célibataire,2.0,0.18,2025-05-07,,10000.0,12451.179224418414
Robinson,Samantha,19,168.5,65.8,H,oui,bac,Occitanie,oui,non,4336,marié,1.0,0.44,2022-10-06,,5000.0,500.0
Henry,Jennifer,67,171.7,65.2,F,oui,master,Bretagne,non,non,1423,marié,2.0,0.83,2024-10-11,326.0,10000.0,500.0
Fernandez,Elizabeth,51,186.9,57.8,H,oui,bac,Île-de-France,oui,non,2977,marié,,0.26,2020-11-27,,5000.0,500.0
Stephens,Larry,36,193.4,43.2,F,oui,doctorat,Occitanie,non,oui,5800,divorcé,,0.29,2020-04-17,,1060.65,40339.694051030034
Young,Monica,39,155.3,70.7,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,2554,veuf,1.0,0.83,2023-08-06,,,500.0
Moyer,Daniel,73,153.4,72.5,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,1993,veuf,,0.09,2024-06-04,,,21231.539695160896
Clark,Judy,44,160.9,54.9,H,oui,doctorat,Bretagne,oui,oui,3056,,0.0,0.94,2021-06-30,,1220.23,32214.32524541761
Stokes,Victor,35,174.4,87.0,F,oui,bac+2,Normandie,non,oui,3393,,,0.33,2023-11-24,,5000.0,24163.240253384083
White,James,41,162.8,66.7,H,oui,aucun,Bretagne,non,oui,500,,,0.94,2025-06-09,710.0,5000.0,9753.476558411556
Herrera,Christy,64,189.1,67.8,H,non,master,Hauts-de-France,non,non,3498,,,0.65,2023-11-08,344.0,5000.0,500.0
Hughes,Jeffery,68,182.4,61.0,F,non,bac,Normandie,non,oui,4065,célibataire,3.0,0.24,2020-11-04,,808.29,17602.745150823277
Brooks,James,63,162.6,65.5,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,1929,divorcé,0.0,0.55,2021-05-16,,5000.0,500.0
Woods,Elijah,67,185.2,72.7,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,non,2536,veuf,0.0,0.08,2022-05-04,466.0,10000.0,1317.5446060193783
Pace,Tabitha,73,156.5,45.7,F,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,1616,,,0.81,2023-11-07,441.0,1180.23,10961.14240068078
Robinson,Kristin,59,151.9,100.0,H,non,bac+2,Bretagne,oui,non,2976,,,0.22,2021-04-06,553.0,,500.0
Johnson,Leah,66,177.1,41.6,F,oui,aucun,Corse,oui,non,1900,célibataire,2.0,0.59,2022-12-18,352.0,10000.0,500.0
Richards,Daniel,60,155.6,73.7,F,oui,aucun,Île-de-France,non,oui,3579,marié,4.0,0.87,2024-02-26,,,17535.458832323646
Dixon,Ivan,36,168.0,73.2,F,oui,aucun,Auvergne-Rhône-Alpes,non,non,3616,veuf,3.0,0.28,2020-05-11,,,500.0
Knapp,Andrew,25,170.1,71.7,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2813,divorcé,,0.33,2022-05-14,,,500.0
Townsend,John,69,160.2,79.8,F,oui,master,Occitanie,non,oui,1727,divorcé,4.0,0.07,2020-01-26,,,19319.196148001323
Terry,Gloria,18,172.1,65.1,F,non,bac,Auvergne-Rhône-Alpes,oui,non,1205,marié,5.0,0.99,2024-02-27,,,500.0
Lucas,Julie,49,174.5,70.5,H,non,master,Corse,non,non,3751,,,0.52,2024-12-07,,,500.0
Perkins,Carol,58,165.2,73.8,F,non,doctorat,Bretagne,non,non,3429,,,0.72,2020-04-10,,,500.0
Rodriguez,Brian,30,172.7,65.4,H,non,aucun,Bretagne,non,non,2329,célibataire,5.0,0.23,2025-01-06,453.0,5000.0,500.0
Lindsey,Sarah,56,177.0,52.3,F,non,doctorat,Corse,oui,oui,2692,veuf,2.0,0.29,2023-10-02,,10000.0,3398.056868350395
Chambers,Tyler,23,142.0,69.1,F,non,master,Corse,oui,non,4409,marié,,0.43,2020-04-15,570.0,10000.0,500.0
Myers,Emily,72,175.8,77.2,H,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,4219,divorcé,3.0,0.8,2020-04-13,617.0,792.73,30210.38076884105
Bauer,Mark,65,173.1,62.1,H,non,aucun,Occitanie,non,non,2895,marié,,0.8,2023-07-21,,5000.0,500.0
Patel,Leah,53,172.8,98.2,H,oui,bac,Île-de-France,non,non,3578,,,0.75,2024-10-31,307.0,,500.0
Anderson,Brent,50,172.1,70.5,H,non,aucun,Île-de-France,oui,non,1043,célibataire,5.0,0.26,2021-10-01,706.0,5000.0,500.0
Christian,Jennifer,20,186.0,69.8,F,oui,master,Occitanie,non,non,500,,,0.43,2023-01-04,,545.06,500.0
Vaughn,Victoria,34,172.0,76.6,H,non,doctorat,Île-de-France,non,oui,1234,célibataire,0.0,0.88,2024-07-05,,,37222.27624402957
Jones,David,52,178.5,76.6,H,non,aucun,Île-de-France,oui,non,1671,,,0.21,2020-03-05,536.0,1053.58,500.0
Smith,Michael,46,186.3,58.8,F,oui,doctorat,Corse,oui,non,2888,divorcé,,0.63,2023-06-03,,,500.0
Walker,Bridget,21,162.0,59.3,H,non,master,Auvergne-Rhône-Alpes,oui,non,4411,célibataire,1.0,0.01,2024-02-11,599.0,,500.0
Berg,Julie,19,169.1,74.3,F,non,bac+2,Auvergne-Rhône-Alpes,non,oui,4536,célibataire,3.0,0.23,2024-05-12,483.0,10000.0,22791.084281492807
Chandler,Rodney,60,153.8,67.8,F,oui,doctorat,Bretagne,non,oui,819,veuf,5.0,0.9,2023-02-16,667.0,,30067.215410477864
Romero,Rachel,71,179.3,53.7,F,oui,aucun,Île-de-France,non,oui,2070,célibataire,2.0,0.12,2022-05-04,,,17545.045868818048
Hammond,Michael,48,171.5,60.2,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,2493,veuf,2.0,0.72,2023-10-11,,5000.0,20817.457558911796
Scott,Wanda,34,171.6,50.9,H,oui,aucun,Corse,oui,non,3049,célibataire,,0.75,2023-08-15,,10000.0,500.0
Evans,Emily,54,161.3,54.5,H,non,aucun,Bretagne,non,oui,1873,veuf,4.0,0.97,2022-02-05,825.0,10000.0,14792.258324997892
Castro,Joshua,24,161.5,48.0,F,non,bac+2,Corse,non,oui,3798,célibataire,,0.23,2021-06-22,604.0,5000.0,3405.217002031489
Mitchell,Danielle,32,172.8,76.6,H,oui,bac,Hauts-de-France,oui,oui,1483,,,0.87,2021-02-14,836.0,,7843.5625137529805
Meyer,Natasha,36,188.7,46.0,H,non,bac,Hauts-de-France,oui,non,2852,célibataire,5.0,0.23,2020-11-14,357.0,809.31,500.0
Jones,Harry,28,163.3,55.2,F,oui,doctorat,Hauts-de-France,non,oui,2490,marié,0.0,0.21,2021-09-02,429.0,648.02,26040.882828038008
Williams,Erik,63,169.9,73.6,F,non,aucun,Corse,oui,oui,2251,divorcé,3.0,0.16,2022-03-12,,1049.02,500.0
Smith,Jessica,41,171.0,46.3,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,500,,,0.81,2020-01-16,,10000.0,500.0
Jones,Kevin,56,169.4,66.9,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,606,marié,2.0,0.14,2023-07-11,779.0,10000.0,500.0
Morgan,Matthew,27,158.0,69.9,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,3188,célibataire,0.0,0.17,2023-03-18,,5000.0,6150.042727113279
Williams,Roberto,41,163.2,47.5,H,non,doctorat,Auvergne-Rhône-Alpes,non,non,1930,veuf,,0.12,2021-09-17,765.0,5000.0,7578.677506458355
Koch,Crystal,25,177.2,68.9,H,non,master,Provence-Alpes-Côte d’Azur,non,non,500,marié,1.0,0.88,2021-02-22,,10000.0,500.0
Alvarado,Steven,64,184.8,77.7,H,oui,aucun,Île-de-France,non,oui,3751,,0.0,0.69,2024-06-22,,,20588.766546536917
Warren,Mark,53,159.9,46.5,F,oui,bac+2,Corse,non,oui,4049,divorcé,,0.15,2022-07-23,,864.71,11689.62746170505
Baker,Brandon,46,162.6,56.7,H,oui,master,Bretagne,oui,oui,3178,,0.0,0.11,2022-01-21,,10000.0,20706.610524362415
Guerrero,Jennifer,56,159.1,91.1,F,oui,bac+2,Île-de-France,non,oui,3662,veuf,,0.31,2023-06-21,,518.47,21289.918390417322
Doyle,Jesus,39,173.0,74.8,F,non,master,Bretagne,oui,oui,1359,célibataire,,0.18,2022-02-14,,,500.0
Fletcher,James,24,162.6,82.1,F,non,aucun,Bretagne,oui,oui,1528,veuf,5.0,0.58,2022-11-12,455.0,,500.0
Cross,Barbara,63,158.7,63.9,F,non,aucun,Normandie,non,oui,2999,divorcé,3.0,0.6,2021-09-26,637.0,525.36,5645.743153641728
Rodriguez,Heather,67,188.8,53.5,F,oui,doctorat,Normandie,oui,non,4070,veuf,,0.95,2022-06-14,420.0,5000.0,2634.6836364964042
Jones,Lisa,38,172.6,64.1,F,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,2221,célibataire,,0.05,2021-04-19,361.0,10000.0,3636.270510115138
Fowler,Daniel,55,169.4,63.5,H,oui,master,Normandie,non,oui,2350,célibataire,1.0,0.74,2023-04-06,,10000.0,23561.000208170462
Wilson,Stephanie,67,156.7,69.7,F,non,aucun,Hauts-de-France,non,oui,1478,marié,,0.36,2020-05-12,448.0,1327.19,500.0
Perez,Bryan,75,172.0,57.9,H,oui,master,Corse,oui,non,4229,,,0.71,2022-08-06,778.0,,500.0
Mooney,Kimberly,59,162.8,69.7,F,non,doctorat,Bretagne,non,non,2871,divorcé,3.0,0.75,2024-02-19,,5000.0,1779.1326697419652
Lee,John,65,179.4,50.8,F,non,aucun,Normandie,oui,oui,2485,,1.0,0.48,2020-06-05,401.0,,500.0
Ray,Kimberly,55,186.5,76.9,F,non,master,Provence-Alpes-Côte d’Azur,oui,non,3081,célibataire,,0.14,2025-06-04,,5000.0,500.0
Barnes,Shawn,62,156.9,63.3,H,oui,aucun,Hauts-de-France,non,oui,4311,veuf,,0.78,2023-12-16,,10000.0,9290.88006606122
Pena,Courtney,18,175.6,68.7,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,2671,célibataire,3.0,0.06,2025-05-03,729.0,639.59,500.0
Ayers,Dustin,51,162.7,64.5,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,non,2758,célibataire,,0.45,2021-11-10,,5000.0,15612.25503983592
Brock,Robert,68,170.2,64.2,H,oui,aucun,Bretagne,oui,non,1744,veuf,,0.52,2022-10-19,,1026.02,500.0
Dunn,Connie,55,166.2,75.1,F,non,master,Provence-Alpes-Côte d’Azur,non,non,2925,divorcé,,0.16,2023-08-18,659.0,,500.0
Sullivan,Brenda,74,182.2,77.6,F,non,doctorat,Île-de-France,oui,non,785,marié,3.0,0.6,2023-09-28,,10000.0,500.0
Berg,Eric,21,156.5,79.6,H,oui,bac,Auvergne-Rhône-Alpes,non,non,1486,veuf,,0.86,2020-10-02,,5000.0,500.0
Farley,Penny,58,179.0,77.5,F,oui,master,Corse,non,non,3712,divorcé,1.0,0.98,2020-08-03,452.0,,500.0
Robinson,Timothy,33,172.2,75.3,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,2322,divorcé,3.0,0.65,2025-02-25,,5000.0,500.0
Rodriguez,Janet,48,171.3,84.2,F,non,bac,Normandie,non,non,2486,célibataire,,0.45,2025-02-06,,10000.0,500.0
Alvarado,Elizabeth,68,162.7,35.6,H,non,doctorat,Occitanie,non,non,2012,,,0.99,2020-03-31,,506.64,3044.5654542881616
Livingston,Mary,70,164.0,77.9,H,non,bac,Bretagne,oui,oui,3454,,0.0,0.57,2021-08-19,,5000.0,11411.63837833595
Thompson,Jennifer,63,166.5,52.1,H,non,bac,Occitanie,oui,non,4144,veuf,,0.55,2021-02-02,,10000.0,500.0
Cuevas,Megan,34,175.0,64.4,H,non,doctorat,Hauts-de-France,oui,non,2368,marié,,0.81,2022-10-20,,5000.0,500.0
Taylor,Richard,43,174.3,37.3,H,non,bac,Normandie,oui,oui,3728,célibataire,1.0,0.41,2020-02-10,389.0,10000.0,1239.7332161618597
Taylor,Samantha,55,181.3,63.1,H,non,bac+2,Île-de-France,oui,oui,5381,,2.0,0.91,2024-08-08,438.0,10000.0,20285.71703516849
Collins,Sean,69,176.4,71.6,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,2083,marié,5.0,0.87,2024-11-08,402.0,5000.0,20821.972562863903
Hernandez,William,33,164.9,88.2,F,oui,bac+2,Île-de-France,non,non,2790,divorcé,5.0,0.42,2022-12-05,544.0,10000.0,500.0
White,Jeremy,27,159.8,85.6,H,oui,master,Île-de-France,oui,oui,2983,,,0.01,2020-05-10,,10000.0,28780.99777655068
Davis,Eric,40,183.8,77.4,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,3677,marié,,0.23,2020-10-17,707.0,5000.0,14474.01181532304
Long,Amanda,26,162.3,61.5,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2564,marié,0.0,0.75,2020-02-15,,,21735.303398241387
Barker,Darryl,73,160.5,70.3,F,non,bac,Bretagne,non,oui,4028,divorcé,0.0,0.59,2022-05-03,789.0,,18298.694122291112
Sparks,Brian,35,165.4,94.8,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,3465,célibataire,2.0,0.28,2020-02-10,378.0,10000.0,16018.562486023637
Ibarra,Kimberly,43,170.2,79.3,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,2562,,4.0,0.78,2021-02-24,772.0,,27460.961336772674
Cruz,Russell,29,179.9,49.7,F,non,bac+2,Bretagne,non,oui,4361,marié,3.0,0.56,2022-07-02,,5000.0,22040.55911743361
Mccann,Lori,29,181.4,83.0,H,oui,bac+2,Corse,oui,oui,4239,célibataire,,0.76,2023-03-17,644.0,5000.0,11620.182209556868
Juarez,Justin,62,143.4,66.6,F,non,master,Hauts-de-France,non,non,1610,divorcé,1.0,0.26,2020-06-09,716.0,,500.0
Griffin,Donna,73,176.7,51.5,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2288,veuf,,0.85,2022-06-05,,10000.0,14163.752625122823
Young,Whitney,74,174.0,65.8,H,oui,aucun,Normandie,oui,non,2453,veuf,0.0,0.07,2023-12-07,,10000.0,500.0
Hernandez,Benjamin,73,163.3,67.2,F,oui,bac,Corse,oui,non,851,marié,,0.09,2020-07-29,407.0,604.3,500.0
Briggs,Heather,18,152.8,57.5,H,non,aucun,Occitanie,oui,oui,2829,,0.0,0.25,2022-11-09,661.0,,7172.698675956677
Zuniga,Steven,31,171.2,85.0,H,non,master,Provence-Alpes-Côte d’Azur,oui,non,1710,célibataire,,0.22,2021-05-05,448.0,902.69,500.0
Lindsey,Bobby,46,166.1,84.7,H,non,bac+2,Occitanie,non,non,2733,divorcé,2.0,0.07,2024-12-31,,,500.0
Mcmillan,George,32,173.4,80.2,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,3140,marié,5.0,0.36,2023-01-15,727.0,5000.0,25804.57376723502
Hale,James,68,166.8,55.8,F,non,doctorat,Bretagne,non,non,3822,,1.0,0.14,2021-07-23,716.0,,9236.974544372835
Rogers,Sierra,54,158.6,69.2,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2937,divorcé,,0.17,2021-09-07,,10000.0,8714.812576638831
Cunningham,Ashley,19,176.3,67.6,F,non,doctorat,Île-de-France,oui,non,3543,veuf,,0.06,2020-03-08,,5000.0,500.0
Garza,Donald,61,174.2,49.1,F,oui,bac+2,Bretagne,oui,oui,3008,,0.0,0.94,2020-08-22,,,16233.503687503098
Savage,Cindy,25,178.7,54.6,F,non,master,Auvergne-Rhône-Alpes,oui,oui,663,marié,2.0,0.45,2024-06-03,,597.19,7892.259969746159
Scott,Jessica,73,184.0,61.1,H,non,aucun,Auvergne-Rhône-Alpes,oui,oui,1847,divorcé,,0.14,2020-02-12,439.0,5000.0,500.0
Wood,Cameron,32,177.6,47.3,H,oui,doctorat,Normandie,oui,non,3131,,2.0,0.84,2021-11-15,,-101.85,7213.026972635107
Durham,Emily,41,171.4,81.6,F,oui,bac,Île-de-France,non,oui,1437,marié,,0.82,2020-02-18,,859.54,17938.206859744096
Graham,Brandon,67,157.5,72.6,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,4499,,2.0,0.24,2024-06-09,402.0,5000.0,27757.07286397715
Jacobs,Gary,21,166.4,83.3,F,oui,aucun,Normandie,oui,non,3061,veuf,,0.36,2021-09-17,,10000.0,500.0
Richards,Anthony,72,176.1,87.2,H,non,master,Corse,oui,non,908,célibataire,,0.74,2022-03-30,762.0,,500.0
Wong,Jennifer,34,197.8,61.6,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2231,célibataire,,0.63,2023-11-14,,287.17,36505.366031213474
Hudson,Gilbert,39,173.4,66.8,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,3185,marié,,0.2,2024-10-26,717.0,,18176.21999552685
Wilson,Matthew,62,146.2,63.4,F,oui,master,Île-de-France,oui,oui,500,célibataire,0.0,0.05,2020-05-24,544.0,,18672.718706990217
Ramirez,Ashley,34,165.5,88.6,H,non,bac,Corse,oui,non,1250,divorcé,5.0,0.21,2023-03-15,,1346.23,500.0
Turner,Cindy,25,162.9,70.8,F,non,master,Île-de-France,non,oui,3912,marié,3.0,0.21,2024-09-07,,1071.03,30288.82670482222
Kelly,Stephanie,69,173.7,71.4,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,1582,veuf,,0.78,2021-12-17,,,500.0
Kelley,Stacey,51,165.5,90.5,F,oui,bac+2,Normandie,oui,oui,1731,célibataire,,0.53,2021-05-03,431.0,516.18,1933.3802237031691
Miller,Kimberly,28,155.3,75.0,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3189,,,0.29,2021-08-25,808.0,847.33,33105.49895519164
May,Betty,53,194.0,69.8,H,oui,bac,Île-de-France,oui,non,4267,célibataire,,0.4,2024-10-29,,617.61,1371.3502338962446
Parker,Tracy,42,166.0,50.2,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,2051,marié,1.0,0.93,2020-11-24,,767.15,35233.927736663914
Thomas,Timothy,46,166.0,55.9,H,oui,bac+2,Île-de-France,non,non,4141,veuf,4.0,0.66,2020-04-10,,5000.0,10073.290791595377
Spears,Terri,62,170.8,75.0,F,oui,bac,Corse,non,non,3602,divorcé,,0.4,2022-09-30,476.0,,500.0
Miller,Joseph,34,177.9,77.3,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,2376,,,0.56,2024-10-03,,,500.0
Lawson,Amy,67,183.0,62.4,H,non,bac+2,Bretagne,oui,oui,3079,célibataire,,0.08,2022-11-07,,10000.0,9401.63644078708
Livingston,Jasmine,35,157.3,58.3,F,oui,bac,Normandie,oui,oui,2096,divorcé,0.0,0.74,2020-11-14,,1129.98,500.0
Johnson,Sara,70,163.6,81.4,F,non,bac+2,Île-de-France,non,oui,4339,,,0.67,2022-03-12,,882.68,27343.438488085216
White,John,32,188.2,61.4,F,non,aucun,Normandie,non,oui,3575,célibataire,,0.29,2023-03-29,616.0,,2266.3416046222064
Bridges,Richard,53,166.4,67.3,F,oui,aucun,Normandie,non,oui,3662,divorcé,,0.11,2022-03-05,502.0,892.53,7596.396083664771
Powell,Cassandra,33,182.2,41.6,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,3158,célibataire,,0.68,2025-03-20,,5000.0,21825.651855901917
Moran,Tracy,28,184.7,73.0,H,oui,bac,Occitanie,oui,oui,1836,marié,,0.91,2020-01-11,353.0,,8525.467165236723
Woods,Rhonda,50,176.9,84.3,H,non,aucun,Occitanie,oui,oui,2558,,,0.02,2022-05-01,631.0,1304.73,500.0
Olson,Mark,60,183.3,90.7,F,oui,bac+2,Normandie,non,non,2157,marié,,0.73,2023-04-04,,986.92,500.0
